,内容,评分,评价,不足之处,论文选题,文献综述,论文水平,论文写作,对论文熟悉程度
870,论文针对构建深度脉冲神经网络所面临的高效学习问题，从三个不同角度提出 一组学习算法，包括基于增广脉冲的深度多脉冲转换算法、基于关键时间点的深度 多脉冲学习算法、基于局部分类器的深度多脉冲学习算法。论文主要贡献为： 1） 提出了基于双阈值及增广脉冲的脉冲神经网络模型，设计了转换方法 TerMapping 和 AugMapping。实验结果表明，TerMapping 和 AugMapping 可以实现几乎无损的 转换，且 AugMapping 比基线方法更快、更准确、更高效。 2）提出了一种基于关 键时间点的深度脉冲神经网络直接训练算法。实验结果表明该算法在速率和时间编 码下都能达到不错的精度。 3）提出了 3 种基于多脉冲的有监督局部学习规则，即 ELL、BELL 和 FELL。实验结果表明所提出规则在多个数据集上的准确率大幅超过其 他基线方法。 论文选题属于学科前沿，工作创新性较大，工作量饱满，是一篇优秀 的硕士学位论文。,96,优秀,"1）作者在摘要中给出了三个算法之间的递进研究关系，即后者针对前者的不足 进一步提出更优解决方案。那么是否表明所提出基于局部学习规则的学习算法在任 何条件下都是最优选择？如果不是，各自更加适用怎样的问题。 2）深度脉冲神经 网络是否涉及可解释性问题？如果涉及，传统注意力机制等是否适用？ 3）文中存 在少量书写错误，例如第4页，1.3节“局部局部”等；此外，文中多次使用第一人 称“我...""句式，建议改为""本文...""。",优秀,优秀,优秀,优秀,熟悉
871,本文设计了一个有监督的局部学习方案，即每个隐层都借助辅助分类器独立优 化。根据梯度的不同计算方式，此外文中用多种数据集评估了所提方法的性能。论 文中作者通过实验结果证明所提出的方法在准确率方面大幅超过了其他基于脉冲的 局部学习算法。论文书写规范，语言表达清晰，逻辑结构合理，论文具有较强的创 新能力，论文水平达到硕士毕业要求。,90,优秀,论文综述尚有欠。,良好,优秀,优秀,优秀,很熟悉
872,本文探索了复杂混响环境下，语音信号去混响的研究。针对传统深度学习方法 的两个缺陷：1.训练目标强约束问题，2.前后端系统不匹配问题，分别提出了创新 性的方法。首先提出了基于尺度感知的均方差损失的语音混响消除算法，来解决训 练目标强约束问题。并进一步结合渐进式学习来提升去混响效果；然后提出了基于 生成器-自适应器的语音混响消除算法，将前端增强系统和后端识别系统在一定层面 打通，来一定程度克服前后端失配的问题。本文所提出的方法，无论在语音信号质 量，还是语音识别准确率上，都有一定程度的提升。全文撰写较为规范，结构框架 合理，文字描述较为清晰，实验设计较为完整，工作贡献清晰。符合硕士论文毕业 要求。,90,优秀,1）是否可以加入传统信号WPE等算法的实验结果对比,优秀,良好,良好,优秀,熟悉
873,复杂环境下的语音混响消除对下游的语音识别等任务有着重要影响，是语音信 号处理的一个重要研究问题，论文选题具有较大的理论探讨意义和实用价值。 论文 研究了卷积性混响消除方法，工作包含如下两个方面：1）针对深度神经网络方法训 练中对各频段方差一致的强假设前提问题，提出一种尺度感知的均方差损失语音混 响消除方法，设置不同尺度修正不同频段的均方差损失，并渐进式学习逐步逼近低 频和高频方差的真实分布，从而使得其各频段差距基本符合传统方法的统计假设。 对提出的方法，论文采用REVERB挑战赛数据集进行了实验，验证其性能得到提升。 2）提出了一种改进生成对抗网络的生成器-自适应器语音混响消除算法，采用基于 声学模型的判别器替换传统GAN中的判别器，使前后端相互沟通，自动学习产生符合 增强任何和识别任务的鲁棒特征。通过实验，验证了该方法可以使语音识别的单词 错误率下降，说明了其有效性。 论文层次清晰，对所研究的问题调研较为充分。对 问题的分析较为深入，体现了作者扎实的专业理论知识，并具有较强实践能力。其 水平达到硕士毕业论文要求，建议组织答辩。,85,良好,1.论文中有一些文字上的笔误，请作者仔细检查论文，修改错误。如：论文p12 、p13、p15、p17。 2.论文第四章实验显示，生成器采用了MFCC及BNF特征，实验 效果较好。作者没有解释单MFCC效果不明显、加入BNF效果较好的原因。另外，跟传 统GAN比较，体现的是生成器改进带来的效果好、还是判别器部分效果好？请作者酌 情在论文中补充说明。,良好,良好,良好,良好,熟悉
874,封闭空间语音的混响消除是语音增强的主要内容之一，对语音信息感知和后处 理至关重要，论文选题具有重要意义和应用价值。论文对基于深度学习的混响消除 开展了有益探索，取得的研究进展和成果如下： 1、提出了一种尺度感知均方差损 失函数的语音混响消除算法。使用基于U-net结构的全卷积网络实现频谱映射，针对 不同频段赋予不同的权重，克服了传统的均方差损失函数训练过程中会对目标语音 和噪声产生方差一致且均值为零的统计假设，实验验证了所提方法的有效性； 2、 提出了一种基于声学模型作为鉴别器的生成器-自适应器的语音混响消除网络方法。 克服了生成器最终学习到的干净语音特征并不适合后端自动语音识别（ASR）系统， 带来语音失真，从而导致失配问题。实验结果表明了所提方法的有效性。 论文工作 表明，作者已熟练掌握语音增强学科领域的专门知识，并具有运用这些知识进行科 研的能力。论文写作规范、表述较为清晰、内容详实，技术路线正确、逻辑合理、 实验数据和结果真实可靠。,86,良好,论文在逻辑表达和实验设计等方面还存在改进之处。 1、该文是在 REVERB 挑 战数据集上开展的实验验证，应该把最优的模型和实验结果写出来； 2、该文在第4 章中，所提算法模型使用了MFCC+BNF两种特征，而比较方法中仅用了MFCC特征，这 样的实验结果比较不十分合理，应该补充其它方法MFCC+BNF的实验结果； 3、第4章 的方法表述不是很清晰，最好总结梳理一下，用更准确和简明的逻辑关系和图表阐 述清楚。,良好,良好,良好,良好,熟悉
875,论文针对图像散焦去除问题展开研究，研究问题具有较为重要的学术研究价值 、较为广泛的应用前景，论文选题具有一定的前沿性。论文具有一定的创新性，针 对单幅图像去除散焦，提出了基于循环神经网络的去除方法。针对双通道图像去除 散焦，提出了深度融合网络消除图像散焦。 论文针对相关领域知识进行了的回顾， 但仍需针对研究的问题进行更加深入的分析。论文在深度网络方法针对一般的图像 模糊与散焦图像消除方法之间的差异性分析不足。作者掌握了本学科的研究方法， 具有一定的实践方法。论文写作较为规范，图表基本符合要求，态度较为严谨。 同 意答辩。,83,良好,针对论文的主要质询问题如下： 1.一般的图像模糊问题与散焦问题的区别与联 系是什么？解决方案上有什么异同？现有的基于深度学习的图像去模糊方法，针对 两类问题的区别是？ 2.第三章介绍的方法中需要引入散焦图m作为中间参数，但在 实际应用中散焦图m通常未知，在这种情况下如何应用论文所提网络？ 3.如何评价 合成的数据库与真实散焦图像之间的差异？ 4.表3-6中应对对比方法进行相关的引 用。 5.在第4.2.2节中，文中提出利用左右图像特征相拼接获得一个共同特征来实 现对左右偏移量的估计，式4-10所示。基于相同的特征，如何确保获得的针对左右 通道图像的偏移量的计算是合理的？,良好,良好,良好,良好,熟悉
876,图像模糊易造成图像质量下降，造成部分重要的信息丢失，从而无法满足后续 应用的需求。论文针对模糊图像的退化机制和复原方法开展研究，选题合理且有一 定的理论和应用价值。论文研究结合了深度学习方法，主要贡献在于：（1）为针对 性地解决单幅图像的散焦模糊问题，提出一种基于循环神经网络的散焦图像去模糊 算法，相较于其他算法在主客观图像质量评价上有显著优势，在复原结果中具有更 锐利的边缘和清晰的细节。（2）针对全像素双核图像中丰富的散焦信息，提出了一 个全像素深度融合网络（DDFN），该网络在众多基于全像素双核的图像去模糊方法 中具有显著的优越性。论文结构合理，层次清楚，内容较详实，格式基本规范，反 映了作者具有一定的写作能力。,88,良好,1、摘要需要进一步凝练，建议关键词不要单独占一页； 2、图中字体太大，建 议按照规范字体设置。,良好,良好,良好,良好,熟悉
877,针对模糊图像的退化机制和复原方法的研究具有重要的理论和应用价值，论文 《散焦模糊图像复原方法研究》选题合理，研究意义明确。 作者在论文研究中，利 用深度学习知识，对去除常见的散焦模糊展开研究， 提出一种基于循环神经网络的 散焦图像去模糊算法，完成散焦图估计和图像去模糊。为了保证散焦图和清晰图像 的深度特征，在残差网络中引入LSTM 循环层，在合成散焦图像的数据集基础上，验 证算法的有效性。 提出了一个全像素深度融合网络（DDFN），充分利用从全像素左 右视图中提取的浅层和深层特征，从全像素图像数据中恢复出清晰的全聚焦图像， 在真实散焦模糊图像数据集上验证算法的有效性。 论文逻辑清晰，语句较通顺，结 构合理，图文规范。 该论文达到学位论文的要求。,80,良好,虽然论文研究取得了一些研究成果，提出了一种散焦模糊图像复原方法，但是 ，也存在着一些问题： （1）语句不够通顺，表达不够清晰，例如，“为了保证散 焦图和清晰图像的深度特征可以更好的跨阶段传播以及阶段内相互作用”，语言描 述也不够简练。 (2) 对于现有文献综述缺少描述和精炼。 (3) 对于文献的引用不 够全面。 (4) 实验中缺少与同类研究的算法比较中科学的分析过程. （5）算法性 能分析缺乏细致的理论依据和科学性。 （6）对论文中基础知识描述中，缺少参考 文献的引用。,良好,良好,良好,一般,熟悉
878,该论文中，作者针对宽视场及高分辨率的大场景图像，对人群分组进行研究， 提出了细粒度人群社交分组框架，并且通过实验验证了方法的有效性。该研究方向 属于计算机视觉中更深层次的研究。 该论文的研究工作涵盖了三块内容，研究难度 大，工作量饱满。论文语言简洁规范，结构完整，图表使用恰当，论文研究背景和 现状把握到位，参考文献覆盖较全。 综上所述，认为该论文符合研究生毕业的基本 要求。 同意答辩。,80,良好,研究价值需要更明确的阐述。,一般,良好,良好,良好,熟悉
879,本论文研究面向宽视角、超高分辨率的大场景图像的人群社交分组方法，选题 具有较好的理论意义和应用价值。主要工作包括： （1）针对现有大场景数据集场 景有限的问题，进行大场景数据集增广，在更多的场景中进行宽视场、超高分辨率 的数据采集和标注。 （2）针对大场景中群组数量不定以及人群关系复杂的问题， 提出了一种具有全局到局部模式的大场景图像细粒度人群社交分组框架，利用图方 法检测图像中的社交对，然后设计了多支路协作的深度社交分组网络，利用掩模图 像和深度图像预测社交对的分组关系。 论文结构完整，写作较规范，论文成果具有 一定创新性。,65,一般,1. 本论文第一个工作（第三章）进行大场景数据集增广，但作者没有介绍该增 广数据集的详细信息，包括数据量、分辨率、场景种类、标注等。另外，作者应该 统计并分析现有大场景数据集和小场景数据集的情况，并介绍本论文构建的增广数 据集与现有数据集的不同。此外，缺少现有方法在构建数据集上的实验结果。 2. 本论文第二个工作（第四章）提出了一种具有全局到局部模式的大场景图像细粒度 人群社交分组框架，该工作创新性较弱，实验不充分：（1）缺少在大场景数据集上 和现有方法的实验对比。（2）缺少在增广大场景数据集上的定量实验和结果分析。 （3）应补充小场景数据集上的最新对比方法，本论文所用对比方法比较老。（4） 相关参数讨论部分应针对参数的不同设置进行定量实验对比和分析。 3. 摘要和第 一章对本论文研究内容和贡献的总结不一致。 4. 摘要里描述本论文方法“可以很 好地解决具有严重遮挡、视觉平行等特殊社交对组成情况下的分组问题”，但在第 四章的实验部分，作者在社交分组网络效果定性分析部分指出严重遮挡和视觉平行 等情况会影响本论文方法的分组预测结果。实验分析不能支持本论文所陈述的贡献 ，建议对本论文贡献重新总结。 5. 关键术语应给出详细解释，如第二章图2-4中的 “委员模型”、3.1小节中全局视频、局部视频与参考视频之间的关系、第四章的“ 个体位置图”和“o-空间”等。,良好,一般,一般,良好,熟悉
880,本文针对自动估计图像中个体间关系以达到人群分组的问题，基于前人探索的 研究和对人群分组的理解，提出了基于深度学习的大场景图像细粒度人群社交分组 框架，使用动态变化的全局到局部的划分策略和空域与深度联合特征引导的社交关 系估计方法。选题符合专业培养目标要求，论文立意新颖，观点鲜明，从实际应用 中的问题出发，层层递进，研究内容具有一定的创新型和实用价值。文章结构基本 合理，内容充实，思路比较清晰，语言通顺，层次分明，条理清晰，概念表述基本 准确，论据与论点基本上保持一致，表现出该生具有较扎实的理论基础和较强的科 研工作能力。,81,良好,为了进一步提高学位论文的质量，主要有以下两点建议：（1）本文第三章和第 四章提及并介绍了PANDA数据集，但却没有在此数据集评估所提出框架的性能，建议 说明原因；（2）文中在CoffeeBreak数据集上进行对比实验的两种方法提出时间比 较久，建议增加或引用近年来较新的方法做对比比较，以增强本文所提出方法的说 服力。,良好,良好,良好,优秀,熟悉
881,该生学位论文研究面向大场景图像的人群社交分组方法，提出了一种基于图引 导的深度大场景图像细粒度人群社交分组算法模型。针对群组样本长尾问题、尺度 问题提出全局与局部融合的划分策略；同时，针对密集人群的复杂关系评估问题， 提出空域与深度特征联合学习的评估策略，实验表明所提出的算法在宽视角大场景 情况下的人群社交划分问题的有效性。论文结构合理、内容充分、表述准确、图表 正确、数据可信，达到了硕士学位论文的水平。,90,优秀,"1. 论文整体结构合理，整个篇幅达到了硕士学位论文的要求，但总的研究内容 只有一个工作，即高分辨率大场景数据采集和算法框架，内容的丰富性相对较为薄 弱。 2. 论文中出现很多英文缩写，建议先写出中文全称（英文全称，缩写）的形 式。 3. 各章节小结部分简单给出结论即可，无需长篇大论。 4. 论文中部分表述 应更加清楚，如DSGnet^{1,2}，建议分开；同时还存在其他表述不准确的现象。 5. 评价指标应给出文献。 6. 论文参考文献达到了88篇，对于硕士论文来说相对较多 ，建议只列出重要文献。",优秀,优秀,优秀,优秀,很熟悉
882,本文基于宽视场、超高分辨率的大场景图像，对人群分组工作的方法进行了研 究，提出基于深度学习的大场景图像细粒度人群社交分组框架，使用图引导的划分 策略与深度学习网络，将社交分组问题形式化为连续的隐函数表示；提出一种动态 变化的全局到局部的划分策略，提高处理全局视图中任意群组数量、任意尺度目标 问题的灵活性，同时降低了对多人数群组情况的处理规模；提出一种空域与深度联 合特征引导的社交关系估计方法，所设计的深度网络可以很好地解决具有严重遮挡 、视觉平行等特殊社交对组成情况下的分组问题。本文选题针对大场景图像中的人 群进行分组展开，研究内容合理，采用方法具有一定的创新性，论文书写规范。,76,良好,本文提出的细粒度人群社交分组框架可在宽视场超高分辨率大场景图像上实现 准确的人群分组。但论文也指出该方法同样适用于小场景图像，在小场景图像数据 集上的实验结果相比于现有方法取得了显著的性能提升。为什么在小场景小也适用 ？与大场景的区别是什么？还请在论文里补充说明。,良好,良好,良好,良好,熟悉
883,以室内定位为基础的智慧物联网系统的构建是一个重要应用问题，如何在降低 时间复杂度同时，保证定位精度成为一个即需解决的问题。本文选题实用。 通过集 成学习框架 Bagging以及2018年提出的宽度学习模型，构建了定位系统 EnsemLoca 。结合了BLS的优势，简洁高效的神经网络模型，无需储存所有指纹，时间复杂度小 ，特征提取能力强，Bagging 框架可以并行构建多个基学习器等， EnsemLoca 模型 在保持 BLS 复杂度的情况下实现了定位精度的大幅度提高。在视距还是非视距等多 个场景实验结果表明，EnsemLoca 较其它机器学习算法精度更高，空间复杂度小。 论文写作规范，内容详细，结构完善，思路清晰，且近三年的引文占比较高，论文 达到硕士毕业要求。,90,优秀,1.全文建议以第三人称来写，而不是第一人称。个别表达较口语，如第48页” 这也符合研究者的直觉”，可改为：与常识一致。 2.设计自适应的不同场景变化的 信号特征提取，以提高定位精度。 3.建议可以直接使用C语言，提高算法效率和发 挥模型优势。 4.实验场景比较单一，如天津大学的实验内及会议室内，建议采用更 复杂的实验环境进行算法性能测试。,优秀,良好,优秀,优秀,熟悉
884,该论文围绕基于WiFi CSI的室内定位问题开展研究工作，具有良好的理论意义 和应用价值。该论文针对传统指纹定位方法面临的难题，提出了基于集成宽度学习 方法的定位框架，在定位精度和复杂度方面均取得了良好的效果，具有较好的创新 性，立论依据充分，相关工作介绍较详尽，研究方法得当，实验设计合理，反应了 作者具备了较扎实的理论基础和专业技能。该论文逻辑结构清晰，语言表达较流畅 ，图表规范。,88,良好,1.建议针对CSI属性值的正态性判定考虑使用统计判定方法，而不是仅凭借观察 来确定； 2.英文摘要需要进一步提高； 3.仔细检查文字性错误，例如，第23页最 上边一行中“确实”应为“缺失”； 4.相关工作中缺少对最新研究成果的介绍。,优秀,良好,良好,良好,很熟悉
885,该文围绕室内定位技术开展研究工作，选题具有重要现实意义。提出了基于集 成学习 Bagging 框架和宽度学习系统BLS的室内定位算法EnsemLoca。并与SWIM、DN N、BLS、Horus、RADAR进行比较实验，结果表明，所提出的算法EnsemLoca训练时 间较短，定位精度更高。具有较强的创新性。 反映出该生具备较扎实的学科专业基 础知识，具有较强的解决实际问题能力；论文写作规范性、逻辑性较好。,79,良好,1.对国内外研究现状部分，建议增加集成宽度学习应用于室内定位的研究概述 篇幅； 2.存在错别字。如第51页的Hours，应为Horus；又如第22页的一加一大于三 。,良好,良好,良好,良好,很熟悉
886,论文面向多接入边缘计算场景，围绕频繁应用数据定价任务卸载展开研究，主 要工作包括：（1）提出一种基于时序模式挖掘的应用数据定价方案，用服务评价模 型量化任务卸载期望和用户满意度，（2）提出一种基于频繁应用集数据定价的任务 卸载策略，最大化因特网服务提供商利润的同时均衡系统负载。 论文探讨的问题具 有一定的理论研究价值，所提出的解决方案较完整、可行。论文基本撰写符合硕士 生研究生毕业论文的写作规范。论文工作量符合要求，达到了硕士学位论文要求， 但须对论文内容及文字进行适当修改。,80,良好,"仔细检查英文摘要格式和用词规范，例如，第一段最后一句和第三段第一句出 现了全角""'""符号，需用半角符号替换。关键词中Se-quential应为Sequential。全 文组织结构可以再完善，通篇口语化严重，阅读时不太顺畅。",优秀,优秀,良好,一般,很熟悉
887,"该文通过考虑用户使用的应用程序之间的序列模式，提出了一个频繁应用集使 用模式感知任务卸载方案(App-setUsagePatternsAwaretaskoffloadingscheme,AUPA )，以缓解流量数据供应和用户满意度之间的矛盾，该文首先基于真实应用程序使用 数据集建立任务卸载数据集，将应用程序视为任务卸载过程中的最小单元并挖掘关 联应用之间的序列模式，以提取时序关联规则。然后，考虑部分卸载和容量约束， 基于这些关联规则设计一个智能数据定价策略来调节任务卸载决策。最后，将ISP的 利润最大化问题表述为一个基于部分卸载的非线性编程(NonlinearProgramming,NLP )问题并使用斯塔克尔伯格博弈模型(Stackelberggametheory)来解决这个问题，同 时保证系统的流量约束。该文结果有一定意义， 建议修改论文后参加论文答辩",85,良好,1. 参考文献中有的格式不对，少卷号、期号、页码 等， 例如：[32] 2. 202 1年的参考文献太少， 只有一篇， 增加2-3篇， 最好有2022年的文献 3. 英文题 目与中文题目的意思不一致， 英文题目的意思是定价研究， 中文题目的意思是卸 载方法研究 4. 摘要中的表达需要修改，有的表达不是很清晰。,良好,良好,良好,良好,很熟悉
888,该硕士学位论文对多接入边缘计算的任务卸载问题进行了研究，选题适当，具 有一定的实际价值。论文作者分别对多接入边缘计算的任务卸载、流量控制和数据 定价的相关工作进行了一定综述，基本掌握了该领域国内外研究进展和发展方向。 论文主要工作与研究成果包括：（1）提出了一种基于时间序列模式挖掘的应用数据 定价方案；（2）提出了一种基于频繁应用集数据定价的任务卸载策略，在最大化互 联网服务提供商利润的同时均衡系统负载。论文结构较完整，撰写较规范，但部分 细节仍需进一步修改完善。,80,良好,"（1）英文摘要存在撰写错误，例如“a ismart data pricing strategy is” 。 （2）部分语句不够通顺，逻辑不够清晰，例如“序列挖掘的任务是发现一组属 性，在一个给定的数据库中的大量对象之间跨时间共享”。 （3）部分语句存在明 显错误，例如“来推动 IIoT 的发展并创建新的业务应用程序 ]cite2016Fog”。 （4）公式引用不够规范。例如“由 3-2，3-3,”，建议修改为“由公式（3-2） 和（3-3）,”。 （5）部分表格不规范，例如表5-2的第2列缺少表头信息。 （6 ）需要更形式化地给出面向任务卸载的博弈模型。 （7）对比算法需要给出相应的 文献出处。 （8）图5-2中的不同应用程序需要明确给出是哪类应用程序，图5-3中 的不同用户具体是哪两个不同的用户需要明确给出。相关实验结果的数据是如何获 得的描述也不够清晰。",良好,良好,良好,一般,熟悉
889,该论文提出基于深度学习的药物靶体亲和力值预测。申请人对该领域的相关研 究工作有良好的基础，对最新的研究方法做了较全面的调研。药物靶点预测对药物 研究有重要意义。综合药物序列，指纹信息，靶体氨基酸序列，二级结构等多信息 ，解决了序列信息单一问题；其次，结合药物的拓扑结构信息，提取有效的特征。 序列和结构信息的结合，提高了网络预测的性能。,85,良好,"1. 英文摘要有部分语法错误。 2. 存在部分文字编辑错漏，例如25页：”其中 h是ESM习得“ 3. 部分技术方法的介绍不够清楚，例如2.4.2 靶体二级结构表示， 图2-7，氨基酸序列和二级结构之间如何转换。同样问题存在2.4.3, 2.4.4中 4. 第 三章和第四章所提出的方法没有很好的结合具体的问题解释清楚，应和具体问题， 数据结合阐述",优秀,良好,良好,良好,熟悉
890,（1）药物靶点相互作用的测定是药物发现领域中最重要的问题，使用纯生物学 实验来验证药物-靶体结合作用需要花费大量的时间和精力。本研究采用计算的方法 预测药物靶点结合亲和力，具有一定的理论意义与实用价值。 （2）本研究在药物S MILES与靶蛋白一级序列数据的基础上，引入了药物分子指纹、拓扑图表示与靶体先 验表示、残基接触图表示等数据，实现了多源数据的融合。在一定程度上提升了亲 和度预测的效果。 （3）本研究整合了卷积神经网络、循环神经网络以及图神经网 络，在不同的空间提取药物与蛋白质的特征。最后，利用克罗内克乘积进行特征融 合。此种处理方式在一定程度上能充分利用了不同类型的数据，进而提升亲和度的 预测效果。 （4）论文结构合理，思路清晰，撰写规范。,88,良好,（1）建议在进一步的研究中增加对模型生物可解释性的分析。具体来说：结合 药物与蛋白质真实的生物反应过程，从模型的角度详细讨论模型取得较好预精度的 原因。 （2）建议作者在进一步的研究中，对引入的多源数据的原因做更详细的阐 述。能挖掘出不同类型数据之前潜在的关系，进而更合理的利用数据，从而更好的 进行后续药物-蛋白质亲和度预测工作。 （3）论文参考文献部分页与页之间的序号 没对齐，请作者仔细检查并更正。,良好,良好,良好,良好,很熟悉
891,该论文研究了药物和靶体亲和力的，并通过设计深度学习模型，集成多种数据 对药物靶体亲和力进行预测。论文写作认真，段落分明。该论文选题是一个交叉学 科课题，旨在采用计算机学科算法或智能算法解决药物研发中药物靶点亲和力预测 的问题，是比较前沿的选题。该论文条例清楚，有一定的逻辑性，论文基于已有的 研究构建了深度网络，并分析了对结果影响较大的特征，对领域有一定的贡献。这 些都表明作者具备了一定的科研能力，掌握了本学科的基础知识。,80,良好,"论文存在如下不足，需要修改： 1. 第二章，KIBA相互作用总数为118254（表2 -1），论文中又说“过滤后的 KIBA数据集包含 118254 种激酶蛋白和相关抑制剂 的相互作用测定”。具体如何过滤？为什么过滤后的相互作用关系总数和过滤前的 总数相同？ 2. 作者在第三章提出的方法为DeepFusionDTA，但是这个算法名称第一 次出现在第3.3.3节。作者应该在本章的开始就讲自己所设计的方法，包括算法名称 提出来。 3. onehot-DeepFusionDTA的性能（MSE, CI）与DeepFusionDTA的差异非 常小，但是作者在第3.3.3节结尾处又说“在KIBA测试集上预测性能如表3-2所示， 可能由于独热码矩阵太稀疏，而词向量是否可以在没有先验知识的情况下准确表达 靶体蛋白质的相似性还有待研究，它可能不适合本文的数据集。”这根表3-2的测试 结果不太符合。 4. 作者在第四章所提出的方法命名为“基准模型”吗？如果是， 这个命名不太合适，会给读者造成歧义，认为“基准模型”是该领域最基础的模型 。“最佳模型”又是如何选择的？ 5. 作者在第三章，第四章的测试都是在KIBA和D avis数据集上分开进行的，为了说明算法的鲁棒性，作者至少应该以其中一个数据 集为训练集，一个数据集作为测试集测试算法性能。",良好,良好,良好,优秀,熟悉
892,本文面向真实感说话人脸生成任务展开研究工作。第一，提出了基于面部解剖 的说话人脸生成方法，将音频与嘴部运动相关联，同时关注其他面部区域的细节变 化，以？提升生成视频的真实感。第二，将头部姿态变化融入说话人脸生成中，提 出了基于隐式学习身份和内容表征的方法，生成了具有自然的头部姿态变化的说话 人脸视频，进一步提高生成视频真实感。选题具有现实意义，研究思路清晰，内容 充实完整，方法具有创新性、效果较好。但论文写作并未做好校对，仍需进一步规 范,88,良好,存在的问题如下： 1、文中存在多处语言问题，如漏字、多字、病句等，包括 但不限于： 1）第8页第4行，“对应动作单元的向”应为“对应动作单元的方向” ； 2）第11页倒数第4行，“训练目标是为了使”为病句，应去掉“为了”或“ 目标”； 3）第30页，图3-2中“图像身份编码器吗”应去掉“吗”； 4）第34页， 图3-7图注“编码-码器的结构”应为“编码-解码器的结构”； 5）第36页，公式（ 3-13）的下一行，“$\lambda_S$、$\lambda_{CT}$、$\lambda_{CT}$、$\lambda_M $”与公式（3-13）不匹配，且$\lambda_{CT}$出现了两次； 6）文中部分表达 过于口语化。 2、文中存在一些格式问题，如很多地方英文字母没有按规范斜体， 请全文再次核查。 3、第33页图3-6，诸如“Conv3×3 1 0 512”的表达，含义不清 晰，在图注或文中也都没有进行说明。,优秀,优秀,优秀,良好,熟悉
893,真实感说话人生成技术具有重要的研究价值和实际意义。该文提出了一个新的 二阶段网络。首先，通过一个映射网络学习音频到动作单元的映射关系。第二个阶 段通过动作单元的注释生成更加真实自然的说话人脸视频。实验结果验证了有效性 。另外，该文还提出了一种隐式学习身份表示和内容表示的方法，通过头部运动信 息的说话人生成。研究内容较为充分，数据较为详实，是一个较为合格的硕士研究 生毕业论文，但是该文存在较多问题，建议认真修改后重新送审。,75,一般,"1. 英文摘要存在较多语法错误。limited to generating -> generate, whic h requires -> require 等等。 2. 公式中符号解释不够充分。比如公式（2-2） 中A_i和C_i 物理含义是什么？ 还有其他一些公式，比如(2-3),(2-4）中符号的解 释和说明。H和W的含义。其他公式也有同样的问题。建议全部把公式充分检查并解 释。 3. 对各个章节的安排还不太合理。对数据集的介绍和处理可以放在实验部分 ，而不需要放在方法介绍之前。 4. 论文各个方法的创新和贡献？本该文方法与其 他方法的对比和区别需要进行深入介绍和讨论？论文的动机也没有充分解释。该文 提出2个方法，一个是针对面部运动。一个是针对头部运动。两个方法本身对比结果 如何？如何评价两个的优缺点？ 5. 为何在第二章和第三章中采用的对比方法不同 ？采用的数据库不同？需要说明一下。 6. 第二章实验不够充分。包括每个阶段的 消融，每个阶段的输出结果对比等等都没有进行实验。 7. 第三章介绍的方法包括 编码和解码生成模型的设计，损失函数等均为现有方法。创新点在什么地方？缺少 消融实验，对比不够充分。感觉较为简单。为何表3-1只比较了[20]，而没有比较[2 4]?",良好,一般,一般,一般,很熟悉
894,论文的选题具有很好的前瞻性，说话人人脸生成技术是当前非常热点的研究课 题，可以应用到多种场合下，例如人机交互，模拟播音等。作者在基于深度学习的 方法下对此课题进行了研究，旨在提升生成样本的真实性。作者首先通过一个两阶 段的合成网络，通过对动作单元的控制生成脸部细节运动的说话人脸，然后利用了 一种隐式学习身份表示和内容表示的方法实现了说话时头部运动的合成。作者在一 个通用数据集上进行了实验，显示了其效果。论文结构安排合理，层次分明，逻辑 比较严谨，文字通顺，格式规范。,78,良好,1） 论文的整体工作的两个部分的创新程度都比较弱。第一个工作是人的脸部 表情的合成，主要采用的是传统的GAN和重建方法，就是一些简单的方法在人脸生成 方面的的应用。第二个工作也只是一个简单的自编码器。 2）作者在视频数据采集 时，采用0.1秒的视频长度，这么短的视频对于说话人来说，可能只说了不到一个字 ，几乎是没有什么运动的，那么这样的视频序列生成时意义不大的。建议作者用稍 长的视频序列，例如3-5秒的视频来实验。 3）视频的帧率为25，长度为0.1秒，如 何得到每个视频的帧数量为31帧？作者应该给出详细说明。 4） 论文用PSNR和SSIM 来作为定量的标准来评估算法效果，都不太合适，应为这两个都是全局指标，无法 体现出细节部分的效果，建议作者用Makeittalk中的几个指标，特别是landmark的 指标来评估。 5）论文给出的方法效果，从图片上来看3-10，3-11，效果并没有(c) 的方法好，特别是清晰度。此外表3-1中缺少Chen等人方法的结果对比。,良好,一般,良好,良好,熟悉
895,真实感说话人生成技术具有重要的研究价值和实际意义。该文提出了一个新的 二阶段网络。首先，通过一个映射网络学习音频到动作单元的映射关系。第二个阶 段通过动作单元的注释生成更加真实自然的说话人脸视频。实验结果验证了有效性 。另外，该文还提出了一种隐式学习身份表示和内容表示的方法，通过头部运动信 息的说话人生成。研究内容较为充分，数据较为详实。经过作者修改，我认为是一 个较为合格的硕士研究生毕业论文。,80,良好,经过修改，我认为基本满足要求，同意答辩。,良好,良好,一般,良好,熟悉
